Gene	sgRNA	L2_F2|beta	L2_F2|z	L2_F2|p-value	L2_F2|fdr	L2_F2|wald-p-value	L2_F2|wald-fdr	L2_F3|beta	L2_F3|z	L2_F3|p-value	L2_F3|fdr	L2_F3|wald-p-value	L2_F3|wald-fdr	L2_F4|beta	L2_F4|z	L2_F4|p-value	L2_F4|fdr	L2_F4|wald-p-value	L2_F4|wald-fdr
HDAC1	6	-0.010835	-0.54952	0.56701	0.98969	0.58265	0.91328	0.022312	1.1316	0.56701	0.97468	0.25782	0.78152	0.00046265	0.023464	0.87629	1	0.98128	0.9915
HDAC10	6	0.0072162	0.38903	0.94845	0.98969	0.69725	0.91328	-0.0057332	-0.30908	0.69072	0.97468	0.75726	0.93223	0.010049	0.54173	0.95876	1	0.588	0.89847
HDAC11	6	0.0094501	0.40544	0.98969	0.98969	0.68515	0.91328	0.022875	0.9814	0.53608	0.97468	0.3264	0.81102	0.025344	1.0873	0.5567	1	0.27689	0.66978
HDAC2	6	-0.06239	-1.5574	0.12371	0.98969	0.11938	0.84576	-0.022633	-0.56494	0.37113	0.91304	0.57211	0.86608	-0.071662	-1.7888	0.15464	1	0.073645	0.42335
HDAC3	6	0.0097663	0.3644	0.98969	0.98969	0.71556	0.91328	0.013601	0.50749	0.78351	0.97468	0.61181	0.86608	0.010788	0.40251	0.94845	1	0.68731	0.90093
HDAC4	6	-0.034488	-1.2881	0.26804	0.98969	0.19771	0.91328	-0.0069356	-0.25903	0.68041	0.97468	0.79561	0.93223	-0.029495	-1.1016	0.40206	1	0.27065	0.66978
HDAC5	6	0.030819	1.5609	0.37113	0.98969	0.11854	0.84576	0.036446	1.8459	0.31959	0.91304	0.064906	0.62959	0.017784	0.90072	0.75258	1	0.36774	0.79268
HDAC6	6	0.00098683	0.054725	0.86598	0.98969	0.95636	0.97649	-0.029152	-1.6166	0.30928	0.91304	0.10596	0.7772	-0.013255	-0.73503	0.56701	1	0.46232	0.84331
HDAC7	6	0.035935	1.3039	0.27835	0.98969	0.19228	0.91328	0.061218	2.2212	0.072165	0.7	0.026336	0.39066	0.023163	0.84046	0.60825	1	0.40065	0.8418
HDAC8	6	0.020104	0.75508	0.71134	0.98969	0.4502	0.91328	0.026573	0.99802	0.43299	0.91304	0.31827	0.81102	0.0046454	0.17447	0.93814	1	0.8615	0.98015
HDAC9	6	0.015594	0.66257	0.84536	0.98969	0.50761	0.91328	-0.023657	-1.0051	0.37113	0.91304	0.31483	0.81102	-0.0039511	-0.16787	0.7732	1	0.86668	0.98015
SIRT1	6	0.01421	0.64104	0.89691	0.98969	0.52149	0.91328	-0.016729	-0.7547	0.47423	0.95833	0.45043	0.85147	0.018233	0.82251	0.74227	1	0.41079	0.8418
SIRT2	6	0.028301	0.60348	0.4433	0.98969	0.54619	0.91328	0.0296	0.63118	0.41237	0.91304	0.52793	0.86608	0.075002	1.5993	0.041237	0.66667	0.10976	0.48396
SIRT3	6	0.02723	0.77668	0.47423	0.98969	0.43735	0.91328	-0.0028009	-0.079891	0.73196	0.97468	0.93632	0.9766	0.042209	1.2039	0.34021	1	0.22863	0.66978
SIRT4	6	0.037895	0.98979	0.26804	0.98969	0.32228	0.91328	0.030321	0.79194	0.40206	0.91304	0.4284	0.84805	-0.005931	-0.15492	0.73196	1	0.87689	0.98015
SIRT5	6	-0.0095206	-0.37561	0.59794	0.98969	0.7072	0.91328	-0.0049267	-0.19437	0.69072	0.97468	0.84589	0.9351	0.059039	2.3291	0.18557	1	0.019855	0.42335
SIRT6	6	0.0016007	0.097615	0.87629	0.98969	0.92224	0.96733	0.036398	2.2195	0.31959	0.91304	0.026453	0.39066	0.011335	0.69123	0.93814	1	0.48942	0.84331
SIRT7	6	-0.017287	-0.56885	0.4433	0.98969	0.56946	0.91328	-0.029333	-0.96521	0.29897	0.91304	0.33444	0.81102	-0.039759	-1.3083	0.29897	1	0.19077	0.6547
SMARCA1	6	0.019274	0.61741	0.71134	0.98969	0.53696	0.91328	-0.029049	-0.93057	0.30928	0.91304	0.35208	0.81658	-0.0028247	-0.090487	0.82474	1	0.9279	0.98652
SMARCA2	6	-0.013173	-0.57718	0.48454	0.98969	0.56382	0.91328	0.017196	0.75343	0.68041	0.97468	0.45119	0.85147	0.0064265	0.28158	0.94845	1	0.77827	0.94365
SMARCA4	6	0.0026483	0.14998	0.87629	0.98969	0.88078	0.96733	-0.012251	-0.69379	0.5567	0.97468	0.48782	0.85147	0.0090644	0.51333	1	1	0.60772	0.89847
SMARCA5	6	0.024925	0.51709	0.54639	0.98969	0.60509	0.91328	0.0098669	0.2047	0.91753	0.97917	0.83781	0.9351	0.05745	1.1918	0.20619	1	0.23334	0.66978
SMARCAD1	6	0.0040626	0.098707	0.87629	0.98969	0.92137	0.96733	0.06497	1.5785	0.072165	0.7	0.11446	0.7772	-0.0028397	-0.068996	0.81443	1	0.94499	0.98652
SMARCAL1	6	0.043146	1.426	0.2268	0.98969	0.15387	0.91328	0.066404	2.1946	0.072165	0.7	0.028192	0.39066	0.020206	0.66782	0.71134	1	0.50425	0.84331
SMARCB1	6	0.025	0.62335	0.52577	0.98969	0.53305	0.91328	0.022214	0.55388	0.56701	0.97468	0.57966	0.86608	-0.018618	-0.46424	0.51546	1	0.64248	0.89847
SMARCC1	6	-0.0085719	-0.30596	0.62887	0.98969	0.75963	0.94733	0.020054	0.71578	0.61856	0.97468	0.47413	0.85147	-0.010301	-0.36766	0.63918	1	0.71313	0.91464
SMARCC2	6	0.057469	1.5993	0.12371	0.98969	0.10976	0.84576	0.029419	0.8187	0.41237	0.91304	0.41296	0.83543	0.063933	1.7791	0.1134	1	0.075217	0.42335
SMARCD1	6	0.0021956	0.07852	0.87629	0.98969	0.93741	0.96733	0.014533	0.51973	0.74227	0.97468	0.60326	0.86608	0.048487	1.734	0.24742	1	0.082924	0.42335
SMARCD2	6	-0.042697	-1.2703	0.24742	0.98969	0.20396	0.91328	-0.048	-1.4281	0.19588	0.91304	0.15326	0.7772	-0.04663	-1.3873	0.23711	1	0.16534	0.64152
SMARCD3	6	-0.0049195	-0.16397	0.73196	0.98969	0.86975	0.96733	0.018032	0.60098	0.6701	0.97468	0.54785	0.86608	-0.013722	-0.45736	0.56701	1	0.64741	0.89847
SMARCE1	6	0.016485	0.37694	0.80412	0.98969	0.70622	0.91328	0.017738	0.4056	0.6701	0.97468	0.68504	0.91025	0.031224	0.71394	0.48454	1	0.47526	0.84331
SET	6	-0.028587	-0.93975	0.34021	0.98969	0.34735	0.91328	0.0017891	0.058812	0.84536	0.97917	0.9531	0.98352	-0.056051	-1.8426	0.21649	1	0.065385	0.42335
SETBP1	6	0.00073011	0.037978	0.85567	0.98969	0.96971	0.97981	-0.0051818	-0.26954	0.69072	0.97468	0.78751	0.93223	-0.020955	-1.09	0.50515	1	0.2757	0.66978
SETD1A	6	0.0059807	0.21997	0.91753	0.98969	0.82589	0.96733	0.031944	1.1749	0.38144	0.91304	0.24005	0.7772	0.054141	1.9912	0.2268	1	0.046455	0.42335
SETD1B	6	0.028363	0.84032	0.4433	0.98969	0.40073	0.91328	0.027607	0.81791	0.42268	0.91304	0.41341	0.83543	-0.014098	-0.4177	0.56701	1	0.67617	0.89847
SETD2	6	0.072277	1.5908	0.041237	0.8	0.11166	0.84576	-0.029966	-0.65958	0.29897	0.91304	0.50952	0.85213	0.013896	0.30585	0.89691	1	0.75972	0.93282
SETD3	6	-0.062984	-1.3322	0.12371	0.98969	0.18278	0.91328	0.01212	0.25634	0.84536	0.97917	0.79768	0.93223	-0.029821	-0.63076	0.40206	1	0.5282	0.85392
SETD4	6	0.043535	0.92355	0.21649	0.98969	0.35572	0.91328	-0.0065782	-0.13955	0.68041	0.97468	0.88901	0.95816	-0.0045541	-0.096612	0.76289	1	0.92303	0.98652
SETD5	6	-0.014961	-0.51184	0.47423	0.98969	0.60876	0.91328	-0.046244	-1.5821	0.20619	0.91304	0.11363	0.7772	0.0036316	0.12424	0.91753	1	0.90113	0.98652
SETD6	6	0.0029206	0.085868	0.87629	0.98969	0.93157	0.96733	0.010706	0.31476	0.8866	0.97917	0.75295	0.93223	0.0039829	0.1171	0.92784	1	0.90678	0.98652
SETD7	6	0.021663	0.79767	0.64948	0.98969	0.42506	0.91328	-0.00039144	-0.014413	0.79381	0.97468	0.9885	0.98879	-0.011701	-0.43086	0.58763	1	0.66657	0.89847
SETD8	4	-0.080059	-1.5461	0.082474	0.98969	0.12207	0.84576	-0.060795	-1.1741	0.15464	0.91304	0.24037	0.7772	-0.035086	-0.67756	0.29897	1	0.49805	0.84331
SETD9	6	0.026789	0.76265	0.49485	0.98969	0.44567	0.91328	0.036609	1.0422	0.31959	0.91304	0.29732	0.81102	0.021307	0.60659	0.71134	1	0.54412	0.86525
SETDB1	6	0.060476	1.7782	0.082474	0.98969	0.075365	0.84576	0.009639	0.28343	0.92784	0.97917	0.77684	0.93223	0.062927	1.8503	0.12371	1	0.064272	0.42335
SETDB2	6	0.018623	0.50177	0.73196	0.98969	0.61583	0.91328	0.052952	1.4267	0.13402	0.91304	0.15367	0.7772	0.0025214	0.067936	0.91753	1	0.94584	0.98652
BRD1	6	-0.050937	-1.2473	0.18557	0.98969	0.2123	0.91328	-0.051676	-1.2653	0.18557	0.91304	0.20575	0.7772	0.0062123	0.15211	0.94845	1	0.8791	0.98015
BRD2	6	-0.0038979	-0.11902	0.76289	0.98969	0.90526	0.96733	-0.027119	-0.82808	0.31959	0.91304	0.40763	0.83543	0.013813	0.42175	0.89691	1	0.67321	0.89847
BRD3	6	0.0083941	0.23203	0.97938	0.98969	0.81652	0.96733	-0.041613	-1.1503	0.21649	0.91304	0.25003	0.78152	-0.028231	-0.78036	0.41237	1	0.43518	0.84331
