Gene	sgRNA	L3_F2|beta	L3_F2|z	L3_F2|p-value	L3_F2|fdr	L3_F2|wald-p-value	L3_F2|wald-fdr	L3_F3|beta	L3_F3|z	L3_F3|p-value	L3_F3|fdr	L3_F3|wald-p-value	L3_F3|wald-fdr	L3_F4|beta	L3_F4|z	L3_F4|p-value	L3_F4|fdr	L3_F4|wald-p-value	L3_F4|wald-fdr
HDAC1	6	-0.01061	-0.52976	0.73196	0.98958	0.59628	0.91672	-0.020384	-1.0179	0.68041	1	0.30872	0.81815	-0.0031668	-0.15813	0.83505	0.98969	0.87435	0.94236
HDAC10	6	0.016684	0.5748	0.86598	0.98958	0.56543	0.91468	-0.0017852	-0.06151	0.92784	1	0.95095	0.98522	0.02786	0.95986	0.65979	0.98969	0.33712	0.72669
HDAC11	6	0.053824	1.9075	0.16495	0.98958	0.05646	0.51158	0.0045877	0.16261	1	1	0.87083	0.98454	-0.023061	-0.81735	0.53608	0.98969	0.41373	0.76834
HDAC2	6	-0.028793	-0.95604	0.48454	0.98958	0.33905	0.82198	-0.00094152	-0.031265	0.93814	1	0.97506	0.98522	-0.040576	-1.3474	0.37113	0.98969	0.17786	0.59253
HDAC3	6	0.057225	1.9152	0.16495	0.98958	0.055471	0.51158	-0.012893	-0.43157	0.79381	1	0.66606	0.92589	-0.0081177	-0.27171	0.75258	0.98969	0.78585	0.91078
HDAC4	6	-0.048933	-1.3062	0.3299	0.98958	0.1915	0.75619	-0.031814	-0.84929	0.45361	1	0.39572	0.81815	-0.021789	-0.58162	0.53608	0.98969	0.56082	0.82183
HDAC5	6	0.046424	1.5948	0.27835	0.98958	0.11075	0.63192	-0.0020163	-0.069274	0.92784	1	0.94477	0.98522	0.046035	1.5815	0.4433	0.98969	0.11375	0.57401
HDAC6	6	-0.0041784	-0.2045	0.80412	0.98958	0.83796	0.99093	0.017755	0.86905	0.82474	1	0.38482	0.81815	0.023008	1.1261	0.71134	0.98969	0.26012	0.67157
HDAC7	6	-0.0010243	-0.028812	0.84536	0.98958	0.97701	0.99093	-0.029983	-0.84344	0.48454	1	0.39898	0.81815	-0.039784	-1.1191	0.37113	0.98969	0.26309	0.67157
HDAC8	6	0.036569	1.2051	0.42268	0.98958	0.22818	0.795	0.0039954	0.13168	0.97938	1	0.89524	0.98522	-0.018259	-0.60175	0.5567	0.98969	0.54734	0.82183
HDAC9	6	0.0011901	0.039481	0.90722	0.98958	0.96851	0.99093	2.9076e-05	0.00096472	0.93814	1	0.99923	0.99923	0.046618	1.5466	0.4433	0.98969	0.12196	0.57401
SIRT1	6	-0.031166	-1.6954	0.45361	0.98958	0.089991	0.62477	-0.00069367	-0.037738	0.93814	1	0.9699	0.98522	-0.006787	-0.36923	0.79381	0.98969	0.71196	0.88442
SIRT2	6	0.022807	0.631	0.72165	0.98958	0.52804	0.91468	0.029991	0.82983	0.54639	1	0.40664	0.81815	0.046157	1.2771	0.4433	0.98969	0.20158	0.59253
SIRT3	6	0.03826	0.70838	0.39175	0.98958	0.47871	0.88563	-0.029179	-0.54033	0.50515	1	0.58897	0.90739	-0.026127	-0.4838	0.49485	0.98969	0.62853	0.87426
