Gene	sgRNA	L5_F2|beta	L5_F2|z	L5_F2|p-value	L5_F2|fdr	L5_F2|wald-p-value	L5_F2|wald-fdr	L5_F3|beta	L5_F3|z	L5_F3|p-value	L5_F3|fdr	L5_F3|wald-p-value	L5_F3|wald-fdr	L5_F4|beta	L5_F4|z	L5_F4|p-value	L5_F4|fdr	L5_F4|wald-p-value	L5_F4|wald-fdr
HDAC1	6	0.031116	0.86038	0.53608	0.97917	0.38958	0.83476	0.013398	0.37046	0.76289	0.98947	0.71104	0.9993	0.023548	0.65111	0.6701	0.94318	0.51498	0.68045
HDAC10	6	-0.037509	-0.94269	0.31959	0.97917	0.34584	0.83476	0.060309	1.5156	0.072165	0.9	0.12962	0.69397	0.038097	0.9574	0.41237	0.94318	0.33836	0.60819
HDAC11	6	0.063803	1.6423	0.092784	0.97917	0.10054	0.5864	0.039345	1.0127	0.24742	0.9	0.3112	0.77455	0.077372	1.9915	0.082474	0.88889	0.046428	0.23703
HDAC2	6	0.0069511	0.23958	0.98969	0.98969	0.81065	0.9251	-0.01016	-0.35019	0.68041	0.98947	0.7262	0.9993	0.053578	1.8466	0.25773	0.94318	0.064807	0.28758
HDAC3	6	-0.018421	-0.74786	0.52577	0.97917	0.45454	0.83476	-0.024934	-1.0123	0.50515	0.98947	0.31142	0.77455	0.01863	0.7563	0.75258	0.94318	0.44947	0.67075
HDAC4	6	0.011794	0.30132	0.92784	0.97917	0.76317	0.90277	3.4262e-05	0.00087537	0.90722	0.98947	0.9993	0.9993	-0.0077468	-0.19792	0.84536	0.94318	0.8431	0.89869
HDAC5	6	-0.047811	-1.2371	0.2268	0.97917	0.21607	0.77624	-0.04441	-1.1491	0.26804	0.9	0.25053	0.77455	-0.069	-1.7853	0.28866	0.94318	0.074213	0.28758
HDAC6	6	-0.028254	-1.0205	0.41237	0.97917	0.30748	0.83476	0.0020099	0.072595	0.93814	0.98947	0.94213	0.9993	0.017851	0.64473	0.7732	0.94318	0.5191	0.68045
HDAC7	6	0.037891	0.93411	0.37113	0.97917	0.35025	0.83476	0.074671	1.8408	0.041237	0.8	0.065651	0.48986	0.010577	0.26077	0.85567	0.94318	0.79427	0.85605
HDAC8	6	0.04282	1.4205	0.28866	0.97917	0.15545	0.71802	-0.00019145	-0.0063515	0.89691	0.98947	0.99493	0.9993	0.073182	2.4278	0.1134	0.94318	0.015192	0.14066
HDAC9	6	-0.015363	-0.56778	0.57732	0.97917	0.57019	0.86772	0.0062333	0.23036	0.92784	0.98947	0.81781	0.9993	-0.029706	-1.0978	0.5567	0.94318	0.27228	0.5601
SIRT1	6	0.022111	0.71398	0.65979	0.97917	0.47524	0.83815	-0.017666	-0.57046	0.58763	0.98947	0.56836	0.95054	-0.01214	-0.39202	0.80412	0.94318	0.69504	0.83427
SIRT2	6	0.017025	0.57746	0.81443	0.97917	0.56363	0.86772	-0.0073756	-0.25017	0.72165	0.98947	0.80245	0.9993	-0.0385	-1.3059	0.48454	0.94318	0.19158	0.48238
SIRT3	6	-0.033033	-0.65204	0.36082	0.97917	0.51437	0.84566	-0.022495	-0.44403	0.53608	0.98947	0.65702	0.9993	-0.089558	-1.7679	0.18557	0.94318	0.077083	0.28758
SIRT4	6	0.038056	0.73916	0.37113	0.97917	0.45981	0.83476	0.054602	1.0605	0.13402	0.9	0.28892	0.77455	0.12545	2.4364	0.041237	0.8	0.014834	0.14066
SIRT5	6	-0.01327	-0.32404	0.59794	0.97917	0.74591	0.90277	0.054236	1.3243	0.14433	0.9	0.1854	0.74249	0.073874	1.8038	0.1134	0.94318	0.07126	0.28758
SIRT6	6	-0.025812	-0.68445	0.43299	0.97917	0.49369	0.84111	0.0064346	0.17062	0.91753	0.98947	0.86452	0.9993	0.050292	1.3335	0.30928	0.94318	0.18237	0.47811
SIRT7	6	0.018527	0.41265	0.78351	0.97917	0.67987	0.86772	0.039563	0.88116	0.24742	0.9	0.37823	0.87353	-0.0075002	-0.16705	0.84536	0.94318	0.86733	0.91402
SMARCA1	6	-0.010731	-0.30985	0.6701	0.97917	0.75667	0.90277	0.025831	0.74585	0.45361	0.98947	0.45576	0.89623	0.083467	2.41	0.061856	0.85714	0.015951	0.14066
SMARCA2	6	-0.060503	-1.6978	0.18557	0.97917	0.089538	0.5864	0.0085374	0.23956	0.89691	0.98947	0.81067	0.9993	-0.024801	-0.69595	0.61856	0.94318	0.48646	0.68045
SMARCA4	6	0.03869	1.3089	0.37113	0.97917	0.19057	0.7394	0.036535	1.236	0.27835	0.9	0.21646	0.75059	0.02741	0.92728	0.61856	0.94318	0.35378	0.60947
SMARCA5	6	0.066819	1.6648	0.061856	0.97917	0.095956	0.5864	0.0017289	0.043077	0.92784	0.98947	0.96564	0.9993	-0.025942	-0.64637	0.59794	0.94318	0.51804	0.68045
SMARCAD1	6	0.020024	0.48832	0.73196	0.97917	0.62533	0.86772	0.030978	0.75543	0.38144	0.98947	0.44999	0.89623	0.057094	1.3923	0.2268	0.94318	0.16384	0.47489
SMARCAL1	6	-0.033367	-0.79659	0.36082	0.97917	0.42569	0.83476	0.026429	0.63092	0.4433	0.98947	0.5281	0.93137	0.053684	1.2815	0.25773	0.94318	0.20001	0.48238
SMARCB1	6	0.027938	0.68355	0.5567	0.97917	0.49426	0.84111	-0.011541	-0.28238	0.63918	0.98947	0.77765	0.9993	-0.098869	-2.4192	0.14433	0.94318	0.015557	0.14066
SMARCC1	6	0.016983	0.49209	0.81443	0.97917	0.62265	0.86772	-0.0011914	-0.034523	0.89691	0.98947	0.97246	0.9993	0.012591	0.36484	0.82474	0.94318	0.71523	0.83427
SMARCC2	6	0.050443	1.0859	0.2268	0.97917	0.27752	0.8317	0.0050419	0.10854	0.96907	0.98947	0.91357	0.9993	0.11749	2.5292	0.041237	0.8	0.011433	0.14066
SMARCD1	6	0.011232	0.44544	0.93814	0.97917	0.656	0.86772	-0.0057505	-0.22806	0.80412	0.98947	0.8196	0.9993	-0.053806	-2.1339	0.35052	0.94318	0.032851	0.19814
SMARCD2	6	-0.056489	-1.1211	0.18557	0.97917	0.26226	0.8317	-0.098761	-1.96	0.17526	0.9	0.049997	0.48497	-0.092029	-1.8264	0.15464	0.94318	0.067794	0.28758
SMARCD3	6	0.0039676	0.10788	0.96907	0.97917	0.91409	0.95963	0.01385	0.37656	0.75258	0.98947	0.7065	0.9993	0.055981	1.522	0.23711	0.94318	0.12801	0.4139
SMARCE1	6	-0.0063049	-0.12639	0.74227	0.97917	0.89942	0.95963	-0.03334	-0.66834	0.38144	0.98947	0.50392	0.93137	-0.041977	-0.84149	0.46392	0.94318	0.40007	0.63618
SET	6	0.061984	1.522	0.1134	0.97917	0.128	0.62079	0.0089336	0.21937	0.89691	0.98947	0.82636	0.9993	0.021551	0.52919	0.72165	0.94318	0.59667	0.7717
SETBP1	6	0.027071	0.59636	0.57732	0.97917	0.55093	0.86772	0.013505	0.2975	0.76289	0.98947	0.76608	0.9993	0.049706	1.095	0.31959	0.94318	0.27353	0.5601
SETD1A	6	0.060214	1.3349	0.12371	0.97917	0.18192	0.7394	0.026635	0.59048	0.43299	0.98947	0.55487	0.94425	0.020529	0.45511	0.74227	0.94318	0.64903	0.79691
SETD1B	6	-0.0012077	-0.029737	0.86598	0.97917	0.97628	0.97628	0.011439	0.28165	0.81443	0.98947	0.77821	0.9993	0.086531	2.1306	0.061856	0.85714	0.033125	0.19814
SETD2	6	0.051314	1.3271	0.18557	0.97917	0.18447	0.7394	-0.029354	-0.75919	0.43299	0.98947	0.44774	0.89623	0.043462	1.124	0.38144	0.94318	0.261	0.5601
SETD3	6	0.063731	1.6035	0.092784	0.97917	0.10882	0.5864	-0.0088967	-0.22386	0.70103	0.98947	0.82287	0.9993	0.025818	0.64962	0.62887	0.94318	0.51594	0.68045
